unique	0	-39,-16,45,21,-26,79,-64,72,-74	-74,-64,-39,-26,-16,21,45,72,79
windows	5	1,6,7	
runs	0	-54,0,69,0,0,0,0,0,-34,0,30,-45,0,0	-54,1,0,1,69,1,0,5,-34,1,0,1,30,1,-45,1,0,2
unique	0	-62,-62,-37,-62,-37,65,65,-37,65,-62,65,-37,-37,65,-62,65,-37,-37	-62,-37,65
rotate	9	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
unique	0	55,55,55,-43,55,-24,-24,55,-24,-24,-24,-43,-43,-24,-43,-24,-43,55,55,-43,55	-43,-24,55
windows	15	-24,-24,-3,-3,-22,-24,-3	
diff	0	40,0,0,-52,0,-60,0,0,0	-40,0,-52,52,-60,60,0,0
reverse	0	70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70	70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
runs	0	-33,58,-76,43,-70,64,-78,37,-59,36,-38,71,-36,70,-15,64,-78,14,-2,44	-33,1,58,1,-76,1,43,1,-70,1,64,1,-78,1,37,1,-59,1,36,1,-38,1,71,1,-36,1,70,1,-15,1,64,1,-78,1,14,1,-2,1,44,1
runs	0	49,49,62,62,49,62,49	49,2,62,2,49,1,62,1,49,1
sum	0	1277947,-2183072,-24491929,-49700612,3077550,745458,-29062760,1014760,18993390,-22789323,1821015,2140055	-99157521
diff	0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0
windows	8	0,0,0,0,0,0,0	
bound	-75	-80,-60,-53,-39,-38,-28,-26,-24,-19,-12,-10,-9,-6,14,16,19,29,33,56,61,75	1
rotate	10	10,-76	10,-76
reverse	0	-19,24,-15,13,-78,11	11,-78,13,-15,24,-19
runs	0	-18,-15,71,66,-43,-35,34,52,-51,73,-30,-20,-4,7	-18,1,-15,1,71,1,66,1,-43,1,-35,1,34,1,52,1,-51,1,73,1,-30,1,-20,1,-4,1,7,1
windows	11	-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37	-407,-407,-407,-407,-407,-407,-407,-407,-407,-407
reverse	0	-77,80,-59	-59,80,-77
diff	0	26704272,-40823970,-12637834,49752383,-62626992,4587660,-6769749,-7676630,-25454083,-13662335,9455433,-19224192,-53787848	-67528242,28186136,62390217,-112379375,67214652,-11357409,-906881,-17777453,11791748,23117768,-28679625,-34563656
prefix	0	47,-78,-53,-38,52,0,-58,12,-49,10,61	47,-31,-84,-122,-70,-70,-128,-116,-165,-155,-94
windows	14	-47,-67,-67,33,33,33,-47,-67,-67,-47	
runs	0	72,0,35,0,0,0,0,0,0	72,1,0,1,35,1,0,6
prefix	0	11726001,64496058,67271880,4851170,7203444,73221002,17171280,-1277828,-36115450,-54296997,-22328610,-20619600,-3969438,-7942515,-47421750	11726001,76222059,143493939,148345109,155548553,228769555,245940835,244663007,208547557,154250560,131921950,111302350,107332912,99390397,51968647
rotate	9	49,47,46,43,36,20,15,10,4,-36,-50	-36,-50,49,47,46,43,36,20,15,10,4
reverse	0	0,0,0,0,0,0,0,0,0,0,-4,0,0,0,45,0,0,0,0,0,0,66	66,0,0,0,0,0,0,45,0,0,0,-4,0,0,0,0,0,0,0,0,0,0
windows	10	-37,47,15,-55,-65,55,-63	
clamp	58	0,0,0,0,77,0,0,51,0,0,0	0,0,0,0,58,0,0,51,0,0,0
rotate	14	-11,70,-13,59,-52,76,-53,16,-28,53,0,28,-11,75,-53	-53,-11,70,-13,59,-52,76,-53,16,-28,53,0,28,-11,75
sum	0	-64,-52,-44,-43,-30,-27,-3,32,58,60	-113
bound	-3	-77,65,-68,63,-33,58,-36,77,-35,32,-28,45,0,57,-79,58,-16,66,-40,17	9
