prefix	0	-35,6	-35,-29
diff	0	-15889788,-29496672,-23579710,-150534,-58178624,12917625,10801600,-34946652,-4566213,64684650,-959732,-13754820,3855075,-11591531,-14099988,-11463330,-10529748,-21061462,24170916,-970404	-13606884,5916962,23429176,-58028090,71096249,-2116025,-45748252,30380439,69250863,-65644382,-12795088,17609895,-15446606,-2508457,2636658,933582,-10531714,45232378,-25141320
sum	0	0,0	0
windows	10	-58,-16	
runs	0	-48,-80	-48,1,-80,1
windows	1	-80,-63,-63,-36,-32,-19,-8,-6,10,14,16,17,30,31,46,50,51,61,62,65,74,77	-80,-63,-63,-36,-32,-19,-8,-6,10,14,16,17,30,31,46,50,51,61,62,65,74,77
prefix	0	-69,-64,-50,-39,-2,25,29,34,37,61,62,72,78	-69,-133,-183,-222,-224,-199,-170,-136,-99,-38,24,96,174
windows	6	62,-5,-22	
reverse	0	-76,52,-38,72,-79,47,-43,60,-56,26,-16,8,-20,40,-35,30	30,-35,40,-20,8,-16,26,-56,60,-43,47,-79,72,-38,52,-76
diff	0	-69,-55,-48,-48,-35,-17,5,19,28,28,53,57,69,79,80	14,7,0,13,18,22,14,9,0,25,4,12,10,1
prefix	0	-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69	-69,-138,-207,-276,-345,-414,-483,-552,-621,-690,-759,-828,-897,-966
diff	0	0,0,0,-64,0,80,0,0	0,0,-64,64,80,-80,0
clamp	85	52,52,52,52,52	52,52,52,52,52
bound	16	74,62,55,44,43,42,21,18,-32,-40,-46,-74	4
prefix	0	-41,67,25,-7,-74,61	-41,26,51,44,-30,31
clamp	63	80,50,25,20,-17,-29,-39,-56	63,50,25,20,-17,-29,-39,-56
unique	0	-5138160,7853664,-71953420,-2877165,-8802564,-1038828,11115140,49986069,8181472,-2562087,6820740,16471385,-17347014,37383840,-3897495,-36390508,27249096,5708010,19548552,47684304,4649960	-71953420,-36390508,-17347014,-8802564,-5138160,-3897495,-2877165,-2562087,-1038828,4649960,5708010,6820740,7853664,8181472,11115140,16471385,19548552,27249096,37383840,47684304,49986069
prefix	0	-51,35,-29,22,-12	-51,-16,-45,-23,-35
clamp	17	49,49,49,49,49,49,49,49,49	17,17,17,17,17,17,17,17,17
windows	10	76,41,33,30,18,-26,-39	
reverse	0	-61,-58,-42,-40,-30,-12,-12,-5,-4,13,15,64,66,77,77	77,77,66,64,15,13,-4,-5,-12,-12,-30,-40,-42,-58,-61
unique	0	22,22,22,22,22,22,22,22,22,22,22,22,22,22,22	22
windows	10	66,45,28,24,-2,-18,-42,-50	
reverse	0	42,34,11,7,-18,-75	-75,-18,7,11,34,42
prefix	0	0,-27,66,31,53,0,0,0,0,0,48,0,0,0,0,-48,0	0,-27,39,70,123,123,123,123,123,123,171,171,171,171,171,123,123
bound	-73	-1,-63,-63,80,-1,80	0
reverse	0	77,-64,9,-41,71,-74,-64,-69,-50,10,-60,-77,55,8,21,-31,-64	-64,-31,21,8,55,-77,-60,10,-50,-69,-64,-74,71,-41,9,-64,77
reverse	0	0,0,0,51,0,0,0,0,0,0,50,0,10,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,10,0,50,0,0,0,0,0,0,51,0,0,0
rotate	2	42,32,23,21,14,-6,-22,-25,-32,-33,-35,-43,-44,-58,-61	23,21,14,-6,-22,-25,-32,-33,-35,-43,-44,-58,-61,42,32
sum	0	47,47,47,47,47,47,47	329
windows	7	59	
clamp	76	-33,-8	-33,-8
